Question,Option1,Value1,Option2,Value2,Option3,Value3,Option4,Value4,Option5,Value5,dummy_mapping
30.Does your child often have red eyes or get eye discharge easily?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
31.Is your child prone to developing eczema?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
32.Does your child like spicy or fried barbecue foods?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,0,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
33.Is your child's sweat sticky?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
34.Does your child often develop bruises on the skin without knowing how they got them?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
35.Does your child have any painful areas?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
"36.Is the skin on your child's body, or on their neck, armpits, or the crease of their thighs, darker than normal?",Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
37.Does your child easily get dark circles under their eyes?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,1,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
38.Are your child's gums bluish or darker than normal?,Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,1,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
"39.Does your child have rough, fish scale-like skin?",Never,0,Rarely,1,Sometimes,2,Often,3,Always,4,"Never:1,0,0,0,0;Rarely:0,0,0,0,0;Sometimes:0,0,0,0,0;Often:0,0,0,0,0;Always:0,0,0,0,0"
